Date,Open,High,Low,Close,Adj Close,Volume,trade_date,daily_return,day_move_pct,daily_range_pct,gap_abs_pct,rv_5d,range_5d,daily_range_pct_rank,rv_5d_rank,range_5d_rank,gap_abs_pct_rank,proxy_vanna_score,proxy_vanna_env
2026-04-30,7161.75,7219.830078,7126.149902,7209.009766,7209.009766,5723790000,2026-04-30,,0.0065989131148113415,0.013080626383216372,,,,0.8666666666666667,,,,66.5,HIGH
2026-05-01,7234.540039,7272.52002,7229.319824,7230.120117,7230.120117,4847390000,2026-05-01,0.002928328811477421,-0.0006109472027486338,0.005971381147538877,0.0035414396468720646,,,0.26666666666666666,,,0.6551724137931034,42.603448275862064,MEDIUM
2026-05-04,7228.379883,7244.540039,7174.120117,7200.75,7200.75,5215480000,2026-05-04,-0.004062189358506441,-0.0038224171179742092,0.00974214459392436,0.00024069226677285953,,0.009598050708226537,0.6333333333333333,,0.7857142857142857,0.06896551724137931,47.37931034482759,MEDIUM
2026-05-05,7233.620117,7273.259766,7233.620117,7259.220215,7259.220215,5279760000,2026-05-05,0.008120017359302789,0.003539043741022029,0.005479918541318077,0.004564818525848056,0.09704400888603655,0.008568517666499421,0.2,0.37037037037037035,0.5357142857142857,0.7586206896551724,37.13537675606641,LOW
2026-05-06,7294.140137,7369.220215,7294.140137,7365.120117,7365.120117,6579640000,2026-05-06,0.014588330270126626,0.009731096286449106,0.01029320476297835,0.004810423291449912,0.12548760172066328,0.008913455085795208,0.6666666666666666,0.5925925925925926,0.6071428571428571,0.7931034482758621,66.60280970625799,HIGH
2026-05-07,7376.779785,7385.02002,7321.25,7337.109863,7337.109863,6237040000,2026-05-07,-0.0038030953406106294,-0.005377674697659427,0.008644696176191999,0.001583092714684551,0.12677998959865128,0.008026269044390332,0.5333333333333333,0.6666666666666666,0.42857142857142855,0.3448275862068966,54.22988505747126,MEDIUM
2026-05-08,7362.970215,7401.5,7362.970215,7398.930176,7398.930176,5302740000,2026-05-08,0.008425703601870671,0.004883893313426852,0.005232913331838015,0.003524596534994068,0.13100662087869389,0.00787857548125016,0.16666666666666666,0.7037037037037037,0.32142857142857145,0.6206896551724138,44.54342273307791,MEDIUM
2026-05-11,7385.310059,7428.970215,7384.200195,7412.839844,7412.839844,5821910000,2026-05-11,0.0018799566517222477,0.0037276410577306704,0.006062036616247628,0.0018408224805498532,0.11142978245812193,0.007142553885714814,0.3,0.48148148148148145,0.25,0.3793103448275862,37.93805874840358,LOW
2026-05-12,7390.629883,7409.569824,7338.540039,7400.959961,7400.959961,5624790000,2026-05-12,-0.0016026088853944298,0.0013977263323335005,0.009610789083537134,0.0029961474235784763,0.1199600667230349,0.007968727994158625,0.5666666666666667,0.5185185185185185,0.35714285714285715,0.5517241379310345,54.68263090676884,MEDIUM
2026-05-13,7409.120117,7460.040039,7375.129883,7444.25,7444.25,5716600000,2026-05-13,0.005849246479932457,0.004741437909664221,0.011460221275826944,0.0011025807520918197,0.08042252749166831,0.008202131296728343,0.8333333333333334,0.3333333333333333,0.5,0.27586206896551724,54.683908045977006,MEDIUM
2026-05-14,7454.399902,7517.120117,7454.399902,7501.240234,7501.240234,5267050000,2026-05-14,0.0076556045269839945,0.006283581859813102,0.008413851661375529,0.0013634552842798282,0.06701169848328975,0.00815596239376505,0.5,0.2222222222222222,0.4642857142857143,0.3103448275862069,36.484674329501914,LOW
2026-05-15,7445.109863,7454.850098,7397.5,7408.5,7408.5,5582070000,2026-05-15,-0.01236332007867802,-0.0049173032599478346,0.0077030559730237105,0.007482812074939899,0.12584330189390172,0.00864999092200219,0.4,0.6296296296296297,0.5714285714285714,0.9655172413793104,59.347381864623244,MEDIUM
2026-05-18,7415.069824,7434.060059,7353.169922,7403.049805,7403.049805,5489500000,2026-05-18,-0.0007356678139974759,-0.0016210257334456763,0.010908884059080214,0.000886795437672964,0.12512112753099303,0.009619360410568706,0.8,0.5555555555555556,0.8214285714285714,0.20689655172413793,59.582375478927204,MEDIUM
2026-05-19,7375.75,7395.319824,7333.680176,7353.609863,7353.609863,5441140000,2026-05-19,-0.006678320868057419,-0.003001747212147961,0.008357068501508363,0.0036876430280884287,0.13351255759252945,0.009368616294162952,0.4666666666666667,0.7407407407407407,0.7142857142857143,0.6896551724137931,60.71902937420179,MEDIUM
