proxy_vanna_env,trades,wins,losses,total_pnl,avg_pnl,avg_abs_move_pts,avg_range_pct,win_rate
LOW,18,12,6,3800,211.11111111111111,10.348333333333207,0.006845386651923347,0.6666666666666666
MEDIUM,12,9,3,1550,129.16666666666666,8.619166666666692,0.007529011784851463,0.75
HIGH,6,6,0,2910,485.0,6.830000000000079,0.011001374893892928,1.0
