Date,Open,High,Low,Close,Adj Close,Volume
2026-04-30,7161.750000,7219.830078,7126.149902,7209.009766,7209.009766,5723790000
2026-05-01,7234.540039,7272.520020,7229.319824,7230.120117,7230.120117,4847390000
2026-05-04,7228.379883,7244.540039,7174.120117,7200.750000,7200.750000,5215480000
2026-05-05,7233.620117,7273.259766,7233.620117,7259.220215,7259.220215,5279760000
2026-05-06,7294.140137,7369.220215,7294.140137,7365.120117,7365.120117,6579640000
2026-05-07,7376.779785,7385.020020,7321.250000,7337.109863,7337.109863,6237040000
2026-05-08,7362.970215,7401.500000,7362.970215,7398.930176,7398.930176,5302740000
2026-05-11,7385.310059,7428.970215,7384.200195,7412.839844,7412.839844,5821910000
2026-05-12,7390.629883,7409.569824,7338.540039,7400.959961,7400.959961,5624790000
2026-05-13,7409.120117,7460.040039,7375.129883,7444.250000,7444.250000,5716600000
2026-05-14,7454.399902,7517.120117,7454.399902,7501.240234,7501.240234,5267050000
2026-05-15,7445.109863,7454.850098,7397.500000,7408.500000,7408.500000,5582070000
2026-05-18,7415.069824,7434.060059,7353.169922,7403.049805,7403.049805,5489500000
2026-05-19,7375.750000,7395.319824,7333.680176,7353.609863,7353.609863,5441140000
2026-05-20,7369.189941,7435.689941,7357.459961,7432.970215,7432.970215,5384150000
2026-05-21,7410.779785,7465.959961,7389.479980,7445.720215,7445.720215,5440620000
2026-05-22,7468.819824,7506.319824,7463.290039,7473.470215,7473.470215,4952440000
2026-05-26,7511.790039,7539.089844,7501.100098,7519.120117,7519.120117,5496060000
2026-05-27,7526.009766,7530.720215,7499.720215,7520.359863,7520.359863,5524250000
2026-05-28,7519.819824,7568.720215,7508.040039,7563.629883,7563.629883,5494860000
2026-05-29,7579.330078,7599.379883,7563.549805,7580.060059,7580.060059,7858290000
2026-06-01,7582.290039,7617.660156,7562.609863,7599.959961,7599.959961,6583960000
2026-06-02,7595.399902,7620.899902,7582.990234,7609.779785,7609.779785,5904410000
2026-06-03,7605.310059,7605.350098,7551.220215,7553.680176,7553.680176,5753860000
2026-06-04,7516.540039,7598.189941,7516.540039,7584.310059,7584.310059,5398910000
2026-06-05,7537.359863,7541.810059,7368.629883,7383.740234,7383.740234,5591290000
2026-06-08,7440.569824,7466.810059,7395.129883,7405.729980,7405.729980,4898180000
2026-06-09,7438.660156,7483.149902,7237.850098,7386.649902,7386.649902,6006390000
2026-06-10,7350.540039,7396.560059,7265.930176,7266.990234,7266.990234,5247300000
2026-06-11,7287.669922,7412.680176,7257.330078,7394.299805,7394.299805,5658920000
